
line2
line3

NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	WindVxi	GenPwr	RotSpeed	OoPDefl1	IPDefl1	OoPDefl2	IPDefl2	OoPDefl3	IPDefl3	RootFxc1	RootFyc1	RootFzc1	RotTorq
   (sec)	(m/sec)	(kW)	(rpm)	(m)	(m)	(m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kNm)
4.380000000000000004e-01 1.140000000000000036e+01 5.169000000000000000e+03 1.200999999999999979e+01 5.176000000000000156e+00 -7.682999999999999829e-01 5.456000000000000405e+00 -1.199999999999999956e+00 5.121000000000000441e+00 3.119999999999999996e-01 2.761999999999999886e+02 -1.399000000000000057e+02 4.430000000000000000e+02 4.470000000000000000e+03
4.500000000000000111e-01 1.140000000000000036e+01 5.166000000000000000e+03 1.200000000000000000e+01 5.309999999999999609e+00 -7.741999999999999993e-01 5.605999999999999872e+00 -1.187999999999999945e+00 5.251999999999999780e+00 3.282999999999999807e-01 2.771000000000000227e+02 -1.378000000000000114e+02 4.425000000000000000e+02 4.015000000000000000e+03
4.630000000000000226e-01 1.140000000000000036e+01 5.159000000000000000e+03 1.200000000000000000e+01 5.434999999999999609e+00 -7.802000000000000046e-01 5.748000000000000220e+00 -1.173999999999999932e+00 5.375000000000000000e+00 3.417000000000000037e-01 2.781999999999999886e+02 -1.356999999999999886e+02 4.421999999999999886e+02 3.565000000000000000e+03
4.749999999999999778e-01 1.140000000000000036e+01 5.147000000000000000e+03 1.200000000000000000e+01 5.554000000000000270e+00 -7.861000000000000210e-01 5.883000000000000007e+00 -1.155000000000000027e+00 5.490000000000000213e+00 3.523000000000000020e-01 2.783999999999999773e+02 -1.339000000000000057e+02 4.423000000000000114e+02 3.137000000000000000e+03
4.879999999999999893e-01 1.140000000000000036e+01 5.131000000000000000e+03 1.200000000000000000e+01 5.663999999999999702e+00 -7.914999999999999813e-01 6.008000000000000007e+00 -1.133999999999999897e+00 5.596000000000000085e+00 3.604999999999999871e-01 2.788999999999999773e+02 -1.329000000000000057e+02 4.426000000000000227e+02 2.747000000000000000e+03
5.000000000000000000e-01 1.140000000000000036e+01 5.113000000000000000e+03 1.200000000000000000e+01 5.767000000000000348e+00 -7.962000000000000188e-01 6.125000000000000000e+00 -1.108999999999999986e+00 5.693999999999999950e+00 3.663000000000000145e-01 2.786000000000000227e+02 -1.330000000000000000e+02 4.431999999999999886e+02 2.405000000000000000e+03
5.130000000000000115e-01 1.140000000000000036e+01 5.091000000000000000e+03 1.200999999999999979e+01 5.860000000000000320e+00 -8.001000000000000334e-01 6.232999999999999652e+00 -1.080999999999999961e+00 5.783000000000000362e+00 3.699000000000000066e-01 2.786000000000000227e+02 -1.343000000000000114e+02 4.438999999999999773e+02 2.122000000000000000e+03
5.250000000000000222e-01 1.140000000000000036e+01 5.068000000000000000e+03 1.200999999999999979e+01 5.945999999999999730e+00 -8.034999999999999920e-01 6.331999999999999851e+00 -1.048999999999999932e+00 5.863000000000000433e+00 3.709999999999999964e-01 2.781000000000000227e+02 -1.369000000000000057e+02 4.448999999999999773e+02 1.903000000000000000e+03
5.370000000000000329e-01 1.140000000000000036e+01 5.043000000000000000e+03 1.200999999999999979e+01 6.022000000000000242e+00 -8.063000000000000167e-01 6.421999999999999709e+00 -1.014000000000000012e+00 5.934000000000000163e+00 3.695999999999999841e-01 2.780000000000000000e+02 -1.408000000000000114e+02 4.458999999999999773e+02 1.750000000000000000e+03
5.500000000000000444e-01 1.140000000000000036e+01 5.018000000000000000e+03 1.200999999999999979e+01 6.091000000000000192e+00 -8.093000000000000194e-01 6.503000000000000114e+00 -9.777000000000000135e-01 5.996999999999999886e+00 3.649999999999999911e-01 2.775000000000000000e+02 -1.455999999999999943e+02 4.470000000000000000e+02 1.661000000000000000e+03
